3125
5
0,0,0,0,0,0.69163,0
0,0,0,0,1,0.53891,0
0,0,0,0,2,0.81892,0
0,0,0,0,3,0.84233,0
0,0,0,0,4,0.81833,0
0,0,0,1,0,0.48727,0
0,0,0,1,1,0.23342,0
0,0,0,1,2,0.72287,0
0,0,0,1,3,0.93992,0
0,0,0,1,4,0.38576,0
0,0,0,2,0,0.15165,0
0,0,0,2,1,0.22802,0
0,0,0,2,2,0.54612,0
0,0,0,2,3,0.42959,0
0,0,0,2,4,0.01609,0
0,0,0,3,0,0.74072,0
0,0,0,3,1,0.55112,0
0,0,0,3,2,0.39089,0
0,0,0,3,3,0.00205,0
0,0,0,3,4,0.20869,0
0,0,0,4,0,0.99945,0
0,0,0,4,1,0.56650,0
0,0,0,4,2,0.11561,0
0,0,0,4,3,0.67739,0
0,0,0,4,4,0.77737,0
0,0,1,0,0,0.20495,0
0,0,1,0,1,0.26635,0
0,0,1,0,2,0.01355,0
0,0,1,0,3,0.96418,0
0,0,1,0,4,0.49368,0
0,0,1,1,0,0.40723,0
0,0,1,1,1,0.18983,0
0,0,1,1,2,0.56844,0
0,0,1,1,3,0.27453,0
0,0,1,1,4,0.45943,0
0,0,1,2,0,0.72871,0
0,0,1,2,1,0.78560,0
0,0,1,2,2,0.27362,0
0,0,1,2,3,0.14751,0
0,0,1,2,4,0.16271,0
0,0,1,3,0,0.58635,0
0,0,1,3,1,0.78120,0
0,0,1,3,2,0.05871,0
0,0,1,3,3,0.65783,0
0,0,1,3,4,0.39919,0
0,0,1,4,0,0.39780,0
0,0,1,4,1,0.20975,0
0,0,1,4,2,0.26855,0
0,0,1,4,3,0.88605,0
0,0,1,4,4,0.67470,0
0,0,2,0,0,0.15565,0
0,0,2,0,1,0.64520,0
0,0,2,0,2,0.32627,0
0,0,2,0,3,0.22014,0
0,0,2,0,4,0.20728,0
0,0,2,1,0,0.39842,0
0,0,2,1,1,0.92235,0
0,0,2,1,2,0.11696,0
0,0,2,1,3,0.63765,0
0,0,2,1,4,0.74016,0
0,0,2,2,0,0.41971,0
0,0,2,2,1,0.30310,0
0,0,2,2,2,0.85209,0
0,0,2,2,3,0.46737,0
0,0,2,2,4,0.79323,0
0,0,2,3,0,0.90318,0
0,0,2,3,1,0.37285,0
0,0,2,3,2,0.83182,0
0,0,2,3,3,0.39489,0
0,0,2,3,4,0.36784,0
0,0,2,4,0,0.14654,0
0,0,2,4,1,0.34820,0
0,0,2,4,2,0.87969,0
0,0,2,4,3,0.67642,0
0,0,2,4,4,0.12067,0
0,0,3,0,0,0.13300,0
0,0,3,0,1,0.43102,0
0,0,3,0,2,0.78987,0
0,0,3,0,3,0.25582,0
0,0,3,0,4,0.93766,0
0,0,3,1,0,0.29231,0
0,0,3,1,1,0.00210,0
0,0,3,1,2,0.14059,0
0,0,3,1,3,0.64217,0
0,0,3,1,4,0.37793,0
0,0,3,2,0,0.83154,0
0,0,3,2,1,0.15879,0
0,0,3,2,2,0.60901,0
0,0,3,2,3,0.78465,0
0,0,3,2,4,0.61891,0
0,0,3,3,0,0.72195,0
0,0,3,3,1,0.96249,0
0,0,3,3,2,0.35366,0
0,0,3,3,3,0.05288,0
0,0,3,3,4,0.42479,0
0,0,3,4,0,0.55466,0
0,0,3,4,1,0.04373,0
0,0,3,4,2,0.43235,0
0,0,3,4,3,0.10727,0
0,0,3,4,4,0.10664,0
0,0,4,0,0,0.76778,0
0,0,4,0,1,0.59203,0
0,0,4,0,2,0.71426,0
0,0,4,0,3,0.77298,0
0,0,4,0,4,0.51755,0
0,0,4,1,0,0.06751,0
0,0,4,1,1,0.53198,0
0,0,4,1,2,0.16657,0
0,0,4,1,3,0.05579,0
0,0,4,1,4,0.25687,0
0,0,4,2,0,0.85061,0
0,0,4,2,1,0.70316,0
0,0,4,2,2,0.19009,0
0,0,4,2,3,0.04732,0
0,0,4,2,4,0.35290,0
0,0,4,3,0,0.97686,0
0,0,4,3,1,0.65965,0
0,0,4,3,2,0.61910,0
0,0,4,3,3,0.56117,0
0,0,4,3,4,0.76188,0
0,0,4,4,0,0.96367,0
0,0,4,4,1,0.91280,0
0,0,4,4,2,0.48851,0
0,0,4,4,3,0.15078,0
0,0,4,4,4,0.03956,0
